YEAR,MONTH,DAY,HOUR,PRCP,,
2013,1,1,1,0,,
2013,1,6,5,0,,
2013,1,6,6,0,,
2013,1,11,14,0,,
2013,1,11,16,0,,
2013,1,11,17,0,,
2013,1,11,18,7,,
2013,1,11,19,5,,
2013,1,11,20,19,,
2013,1,11,21,9,,
2013,1,11,22,8,,
2013,1,11,23,2,,
2013,1,12,0,5,,
2013,1,12,1,2,,
2013,1,14,22,0,,
2013,1,14,23,8,,
2013,1,15,0,1,,
2013,1,15,1,1,,
2013,1,15,2,5,,
2013,1,15,3,3,,
2013,1,15,4,0,,
2013,1,15,23,1,,
2013,1,16,0,2,,
2013,1,16,1,5,,
2013,1,16,2,6,,
2013,1,16,3,6,,
2013,1,16,4,11,,
2013,1,16,5,15,,
2013,1,16,6,11,,
2013,1,16,7,7,,
2013,1,16,8,3,,
2013,1,16,9,2,,
2013,1,16,10,0,,
2013,1,16,11,1,,
2013,1,16,12,2,,
2013,1,16,13,0,,
2013,1,25,18,2,,
2013,1,25,19,2,,
2013,1,25,20,2,,
2013,1,25,21,1,,
2013,1,25,22,0,,
2013,1,28,10,1,,
2013,1,28,11,1,,
2013,1,28,12,0,,
2013,1,28,13,3,,
2013,1,28,14,0,,
2013,1,28,15,3,,
2013,1,28,16,7,,
2013,1,28,17,4,,
2013,1,28,19,1,,
2013,1,28,20,2,,
2013,1,28,21,0,,
2013,1,29,19,2,,
2013,1,29,20,4,,
2013,1,29,21,0,,
2013,1,30,19,1,,
2013,1,30,20,1,,
2013,1,30,21,1,,
2013,1,31,0,1,,
2013,1,31,1,5,,
2013,1,31,2,7,,
2013,1,31,3,6,,
2013,1,31,4,24,,
2013,1,31,5,33,,
2013,1,31,6,7,,
2013,1,31,7,8,,
2013,1,31,8,0,,
